CustID,Recency_Weeks,Freq_Weeks,Monetary,Age,NumberProducts,F_FOOD,F_DRINKS,F_TOYS,F_HEALTH_BEAUTY,F_SPORTS_OUTDOOR,F_HOUSE,F_Cleaning,F_MAGAZINES,F_GROSSERIES,F_PLANTS_ANIMALS,F_CLOTHES,F_BABY,F_ENTERTAINMENT,F_COMPUTERS,F_SOUND_IMAGE,F_APPLIANCES,M_FOOD,M_DRINKS,M_TOYS,M_HOUSE,M_Cleaning,M_HEALTH_BEAUTY,M_SPORTS_OUTDOOR,M_MAGAZINES,M_GROSSERIES,M_PLANTS_ANIMALS,M_CLOTHES,M_BABY,M_ENTERTAINMENT,M_COMPUTERS,M_SOUND_IMAGE,M_APPLIANCES,M_SUM,F_MAX,validate1,validate2,validate3,validate4,validate5,Loyalty
252,2,36,1153.47,32,438,30,24,3,5,0,3,12,13,29,3,0,0,0,0,0,0,434.62,122.19,5.98,15.23,163.03,88.32,0,115.33,189.81,18.96,0,0,0,0,0,0,1153.47,30,0,0,0,0,0,34
253,7,11,634.92,29,117,11,4,0,0,0,2,6,0,6,2,0,0,0,0,0,0,503.43,27.73,0,5.98,25.78,0,0,0,62.03,9.97,0,0,0,0,0,0,634.92,11,0,0,0,0,0,4
254,52,1,25.92,25,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.93,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,25.92,1,1,0,0,0,0,-51
256,2,3,33.29,30,8,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.22,12.15,0,0,0,0,0,17.98,1.94,0,0,0,0,0,0,0,33.29,1,0,0,0,0,0,1
257,1,49,3727.18,50,1267,45,36,1,8,0,18,28,6,40,0,0,0,0,0,0,0,2010.35,276.39,82.97,228.86,335.17,141.93,0,41.37,607.14,0,0,0,0,0,0,0,3724.18,45,0,3,0,0,0,48
260,13,12,616.26,46,103,8,6,1,0,0,2,4,3,9,6,0,0,0,0,0,0,122.72,82.45,99.98,20.22,30.92,0,0,17.85,117.18,124.94,0,0,0,0,0,0,616.26,9,0,0,0,0,0,-1
262,0,9,451.75,32,112,9,7,1,0,0,5,8,0,5,0,0,0,0,0,0,0,233.22,44.13,9.99,42.6,80.97,0,0,0,40.84,0,0,0,0,0,0,0,451.75,9,0,0,0,0,0,9
263,3,9,181.92,23,90,7,3,0,1,0,0,4,1,6,2,0,0,0,0,0,0,113.5,21.67,0,0,2.94,4.59,0,1.29,32.15,5.78,0,0,0,0,0,0,181.92,7,0,0,0,0,0,6
264,0,30,1165.99,26,413,30,11,1,3,0,9,17,3,27,2,1,0,0,0,0,0,475.2,63.68,56.99,140.77,119.82,46.83,0,22.94,216.81,5.48,14.47,0,0,0,0,0,1162.99,30,0,3,0,0,0,30
266,0,16,1349.92,24,413,15,9,1,0,0,8,7,1,10,1,1,0,0,0,0,0,730.25,117.5,39.9,129.43,127.58,0,0,4.36,145.96,1.99,52.95,0,0,0,0,0,1349.92,15,0,0,0,0,0,16
267,3,19,500.66,39,135,15,11,0,0,0,2,8,0,12,0,2,0,0,0,0,0,223.03,60.84,0,22.98,115.78,0,0,0,78.03,0,0,0,0,0,0,0,500.66,15,0,0,0,0,1.3,16
268,11,4,178.14,19,92,4,4,0,0,0,3,4,1,4,1,0,0,0,0,0,0,28.53,17.99,0,10.45,33.49,0,0,10.92,75.28,1.48,0,0,0,0,0,0,178.14,4,0,0,0,0,0,-7
269,11,12,935.8,20,446,12,12,0,0,0,5,7,1,11,4,1,0,0,0,0,0,491.17,201.35,0,20.66,61.66,0,0,1.99,137.62,19.49,1,0,0,0,0,0,934.94,12,0,0.86,0,0,0,1
